DOI,Year,Tag,Title,Author
10.5281/zenodo.7894730,2023,[GENE-X],TCV-X21-GENEX: influence of collisions on the validation of global gyrokinetic simulations,Ulbl;Body;Zholobenko;Stegmeir;Pfennig;Jenko
10.5281/zenodo.5776285,2024,,TCV-X21: an open dataset for the validation of edge turbulence models,Sales de Oliveira;Body;Galassi;Theiler
